page_key,url,block_type,order,title,content
교통안내,https://www.sciencecenter.go.kr/csc/intro/location,text,0,,인사말
교통안내,https://www.sciencecenter.go.kr/csc/intro/location,text,1,,과학관현황
교통안내,https://www.sciencecenter.go.kr/csc/intro/location,text,2,,관람안내
교통안내,https://www.sciencecenter.go.kr/csc/intro/location,text,3,,정보공개
교통안내,https://www.sciencecenter.go.kr/csc/intro/location,text,4,,이용안내
교통안내,https://www.sciencecenter.go.kr/csc/intro/location,text,5,,오시는 길
교통안내,https://www.sciencecenter.go.kr/csc/intro/location,text,6,,자주묻는질문
교통안내,https://www.sciencecenter.go.kr/csc/intro/location,text,7,오시는 길,주차공간이 없으므로 대중교통을 이용하시기 바랍니다.
교통안내,https://www.sciencecenter.go.kr/csc/intro/location,text,8,버스 이용시,정류장 : 창경궁.서울대학교병원 / 명륜3가.성대입구
교통안내,https://www.sciencecenter.go.kr/csc/intro/location,text,9,버스 이용시,"간선(파랑)버스 : 100, 102, 104, 107, 140, 143, 150, 151, 160, 162, 171, 172, 272, 301, 710"
교통안내,https://www.sciencecenter.go.kr/csc/intro/location,text,10,지하철 이용시,4호선 : 혜화역 4번 출구에서 창경궁 방향으로 도보 약 7분거리
교통안내,https://www.sciencecenter.go.kr/csc/intro/location,text,11,지하철 이용시,TOP
